Front	Back	Tags
united states	"They have happened thanks to intense pressure from the United States.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
fidel castro	"On March 16th Oscar Pérez-Oliva Fraga, a great-nephew of Fidel Castro, appeared on “Mesa Redonda”, a state-television programme.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
trump administration	"In January American special forces snatched Nicolás Maduro from Venezuela and the Trump administration took control of the country’s oil output, which had previously been Cuba’s main source of energy.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
castro family	"Power still resides with the Castro family: Miguel Díaz-Canel, the current president, publicly vowed at his inauguration in 2018 to defer to Raúl on all major decisions.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
private firms	"In February the government quietly began to allow private firms to import fuel, breaking the state’s long-held monopoly.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
cuban medical	"It has blocked fuel shipments and coerced countries to expel Cuban medical missions, stanching the regime’s supply of foreign currency.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
foreign currency	"It has blocked fuel shipments and coerced countries to expel Cuban medical missions, stanching the regime’s supply of foreign currency.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
cuban medical missions	"It has blocked fuel shipments and coerced countries to expel Cuban medical missions, stanching the regime’s supply of foreign currency.

Source: Cuba’s broken economy leaves it at Donald Trump’s mercy"	business ielts-speaking ielts-writing politics the-americas
refined products	"As an emergency measure, China’s planning agency has banned exports of refined products including petrol, diesel and jet fuel.

Source: China cannot escape the energy shock"	business ielts-speaking ielts-writing politics finance-&-economics
including petrol	"As an emergency measure, China’s planning agency has banned exports of refined products including petrol, diesel and jet fuel.

Source: China cannot escape the energy shock"	business ielts-speaking ielts-writing politics finance-&-economics
iranian crude	"The country’s small, independent “teapot” refiners, clustered in Shandong province, are busy processing Iranian crude, which is still allowed to pass through the strait.

Source: China cannot escape the energy shock"	business ielts-speaking ielts-writing politics finance-&-economics
pass through	"The country’s small, independent “teapot” refiners, clustered in Shandong province, are busy processing Iranian crude, which is still allowed to pass through the strait.

Source: China cannot escape the energy shock"	business ielts-speaking ielts-writing politics finance-&-economics
higher prices	"But that assumes buyers will be willing to pay the higher prices they are now charging.

Source: China cannot escape the energy shock"	business ielts-speaking ielts-writing politics finance-&-economics
sparkling water	"With alcohol consumption declining, sparkling water is more popular than ever.

Source: Which is the best sparkling water?"	culture culture
topo chico	"At the stalls on either side, consumers could sample tangerine-ginger, passionfruit, lime-mint, blackberry-cucumber and raspberry, all produced by Topo Chico, a popular Mexican brand owned by Coca-Cola.

Source: Which is the best sparkling water?"	culture culture
east africa	"Now the press in Kenya, and across east Africa, face a shake-up.

Source: A shake-up at Africa’s spikiest media group"	politics middle-east-&-africa
nation group	"The Nation group, which owns dozens of newspapers, TV stations and radio outlets in the region, reported pre-tax losses and declining revenue in 2023 and 2024 (the latest year for which there is data).

Source: A shake-up at Africa’s spikiest media group"	politics middle-east-&-africa
kenya press	"Kenya’s press has long been known for its independence. Even before multiparty democracy was restored in the 1990s, the Guardian, a British daily, declared it (perhaps a bit breathlessly) sub-Saharan Africa’s “only truly free press”. Recently, its leading titles have been especially critical of William Ruto, Kenya’s president. Last year one pronounced his government a “Rogue Regime” on its front page.

Source: A shake-up at Africa’s spikiest media group"	politics middle-east-&-africa
ruto kenya	"Kenya’s press has long been known for its independence. Even before multiparty democracy was restored in the 1990s, the Guardian, a British daily, declared it (perhaps a bit breathlessly) sub-Saharan Africa’s “only truly free press”. Recently, its leading titles have been especially critical of William Ruto, Kenya’s president. Last year one pronounced his government a “Rogue Regime” on its front page.

Source: A shake-up at Africa’s spikiest media group"	politics middle-east-&-africa
another reason pakistani	"BACK IN 2010 it was known as Camp Phoenix, an American base. More recently it was called the Omid Addiction Treatment Hospital, where more than 2,000 patients—most of them hooked on heroin or methamphetamine—were given a chance of redemption. Now the site in Kabul, Afghanistan’s capital, will be remembered for another reason: a Pakistani airstrike on March 16th that killed at least 143 people.

Source: A deadly strike in Kabul could have big knock-on effects"	politics asia
pakistan claimed	"Pakistan claimed the attack was “precisely targeted” at a terrorist site.

Source: A deadly strike in Kabul could have big knock-on effects"	politics asia
